channel_name,channel_url
1-1-coaching-with-aden,https://slack.com/app_redirect?channel=C08R2MZKX88
1-1-coaching-with-anthony,https://slack.com/app_redirect?channel=C08E80348F5
1-1-coaching-with-anthony-savin,https://slack.com/app_redirect?channel=C08L5AC7V4J
1-1-coaching-with-brandon,https://slack.com/app_redirect?channel=C08RM8BBPGV
1-1-coaching-with-carlo,https://slack.com/app_redirect?channel=C08NQKVER0X
1-1-coaching-with-charles,https://slack.com/app_redirect?channel=C08PLV5L83H
1-1-coaching-with-chris,https://slack.com/app_redirect?channel=C08UMM9RC6T
1-1-coaching-with-drew,https://slack.com/app_redirect?channel=C091WDTDD2P
1-1-coaching-with-earl,https://slack.com/app_redirect?channel=C08TK2EBEKY
1-1-coaching-with-eric-atkisson,https://slack.com/app_redirect?channel=C0939KH2K8X
1-1-coaching-with-james-morris,https://slack.com/app_redirect?channel=C090WGT45U2
1-1-coaching-with-justin,https://slack.com/app_redirect?channel=C08ML2M9KLJ
1-1-coaching-with-ollie,https://slack.com/app_redirect?channel=C08SZ5PP1V3
1-1-coaching-with-ralph,https://slack.com/app_redirect?channel=C092EQQHSNB
1-1-coaching-with-ricard,https://slack.com/app_redirect?channel=C08QSQ8HX8E
1-1-coaching-with-shane-jordan,https://slack.com/app_redirect?channel=C08GUNGR6S3
1-1-coaching-with-shey,https://slack.com/app_redirect?channel=C08JDS0HY1J
1-1-coaching-with-tomasz,https://slack.com/app_redirect?channel=C08FEJ9JMEK
private-coaching-allen,https://slack.com/app_redirect?channel=C08C62V3WBU
private-coaching-jackson,https://slack.com/app_redirect?channel=C08B88WNHCJ
